-5.0	-5.0	-1.2300339791510474E7	1.1130973043751357E7	1.0951432748679308E7	-1.210193055730749E7	2.3272033051499255E7
-5.0	-4.9	-7935282.188965525	1.3658101148670705E7	1.3543263456392873E7	-7679064.369560431	2.217882875732965E7
-5.0	-4.800000000000001	-3217299.3451118246	1.4642273694958178E7	1.4610749962229518E7	-2924371.855781259	2.1137009231293734E7
-5.0	-4.700000000000001	1372891.08699475	1.4129690347978042E7	1.4193212276088098E7	1675438.0164939356	2.0144164081135374E7
-5.0	-4.600000000000001	5411330.662349668	1.2305964627554797E7	1.24674557353054E7	5692658.5548790265	1.9197996741487183E7
-5.0	-4.500000000000002	8565863.906900678	9465750.007132549	9718128.390076064	8794249.814254615	1.8296319216459725E7
-5.0	-4.400000000000002	1.0619153826521812E7	5974663.931449335	6300576.06753841	1.07652364170424E7	1.743704708322909E7
-5.0	-4.3000000000000025	1.1478599777648522E7	2227837.78133536	2600445.4312041067	1.151870505556432E7	1.6618194746515978E7
-5.0	-4.200000000000003	1.1173441937449379E7	-1390646.0231182866	-1005802.1683671741	1.1092646963184064E7	1.5837870934658358E7
-5.0	-4.100000000000003	9840536.25761609	-4543634.699282848	-4185781.7926635817	9635122.272090131	1.5094274428799327E7
-5.0	-4.0000000000000036	7701228.536468326	-6969093.567341242	-6678583.826250677	7380203.874906215	1.4385690017538575E7
-5.0	-3.9000000000000035	5032379.059364227	-8498593.15539798	-8312774.774394674	4617817.755770131	1.3710484670259593E7
-5.0	-3.8000000000000034	2134860.3208485716	-9065188.094998054	-9014174.86546323	1660901.1554164637	1.3067103923228012E7
-5.0	-3.7000000000000033	-697223.4873155609	-8700871.176956307	-8803645.374668883	-1186747.5847782062	1.2454068473481234E7
-5.0	-3.600000000000003	-3203725.759586411	-7524761.956175425	-7786053.919005557	-3658917.068423113	1.1869970976502104E7
-5.0	-3.500000000000003	-5179805.35860139	-5723969.005425379	-6132319.957054622	-5549335.054681479	1.131347304468761E7
-5.0	-3.400000000000003	-6489959.826339413	-3529592.140904467	-4056923.479286512	-6726320.262112848	1.078330244470265E7
-5.0	-3.300000000000003	-7074115.149407482	-1190578.3443325567	-1793464.8730626237	-7139000.9807974165	1.0278250492948987E7
-5.0	-3.200000000000003	-6945967.222705215	1051885.8597255629	429200.4859780939	-6815232.612666373	9797169.649582524
-5.0	-3.1000000000000028	-6184495.585378196	2987044.670429579	2408031.330251373	-5852123.442364073	9338971.312775485
-5.0	-3.0000000000000027	-4920135.916604103	4452389.217500457	3982339.181337848	-4400702.020839019	8902623.816235708
-5.0	-2.9000000000000026	-3317464.433195313	5345326.374275937	5044670.300994804	-2646685.31019613	8487150.634340882
-5.0	-2.8000000000000025	-1556398.1896951278	5628098.829494744	5545561.867231265	-789511.5349324573	8091628.800589365
-5.0	-2.7000000000000024	186143.50221678204	5326044.973309124	5492341.099131762	978214.529178609	7715187.546355366
-5.0	-2.6000000000000023	1752413.593926595	4519910.708549227	4942693.779129971	2488932.7952926494	7357007.168079292
-5.0	-2.500000000000002	3016528.852219263	3333430.0500778058	3994159.384650564	3614444.455653287	7016318.131899945
-5.0	-2.400000000000002	3892833.5644089384	1917740.4521628134	2770983.926633927	4275276.590702961	6692400.425163362
-5.0	-2.300000000000002	4339598.796851053	434372.9082726596	1409867.0868714743	4444589.906156784	6384583.163968231
-5.0	-2.200000000000002	4358209.324783033	-961445.5371402283	46083.69135835537	4146679.74047888	6092244.4645811645
-5.0	-2.100000000000002	3988412.8152520424	-2135603.369031481	-1198737.1222340078	3450626.6867119595	5814811.583702086
-5.0	-2.0000000000000018	3300526.5156292464	-2986754.3860034067	-2226194.6087502344	2460067.9583020518	5551761.3275586115
-5.0	-1.9000000000000017	2385693.749168071	-3453922.8544031903	-2967448.400118759	1300353.3225747924	5302620.72185886
-5.0	-1.8000000000000016	1345348.785916076	-3519626.2277668137	-3386076.0359685086	104502.96572129814	5066967.922747752
-5.0	-1.7000000000000015	280991.041863036	-3208530.077824536	-3477600.4013597597	-1000604.0825614372	4844433.331927293
-5.0	-1.6000000000000014	-714792.9642938045	-2582068.1770454254	-3266143.2104563084	-1906503.4744965597	4634700.855739441
-5.0	-1.5000000000000013	-1565360.9029481162	-1729809.6207747809	-2798889.9069767827	-2532806.2024622243	4437509.217028304
-5.0	-1.4000000000000012	-2214683.235636452	-758608.2142705084	-2139183.0271236664	-2833486.697703905	4252653.189077001
-5.0	-1.3000000000000012	-2629525.243250706	219288.74253894386	-1359091.96478994	-2799402.183946368	4079984.572732753
-5.0	-1.200000000000001	-2799287.4822263387	1097969.551083941	-532245.0511621103	-2457023.287883338	3919412.6823982378
-5.0	-1.100000000000001	-2733868.898666222	1788307.5481956028	272427.9612199266	-1863710.6271120096	3770904.047797095
-5.0	-1.0000000000000009	-2460067.958302035	2226194.6087502427	995584.7953344665	-1100175.50520975	3634480.983917468
-5.0	-0.9000000000000009	-2017111.1106205015	2377877.974157189	1590747.4465916276	-260991.56102803245	3510218.643665406
-5.0	-0.8000000000000009	-1451895.2239738165	2242022.7935262322	2025935.6394644545	555837.2509836307	3398240.1641029487
-5.0	-0.700000000000001	-814460.5803446356	1848444.5719493588	2283811.021307228	1259205.5710416648	3298709.5694666877
-5.0	-0.600000000000001	-154089.88056995097	1253767.498092909	2360625.602084539	1774139.8309988577	3211822.224800411
-5.0	-0.500000000000001	483722.6497570466	534540.1431010112	2264349.763875775	2049083.5527051764	3137792.8589385203
-5.0	-0.400000000000001	1059346.8667050411	-221442.57496087032	2012375.7123634042	2060593.3550665139	3076841.4942368222
